im_paths,gt_paths,mask_paths
images/21_training.tif,manual/21_manual1.gif,mask/21_mask.gif
images/22_training.tif,manual/22_manual1.gif,mask/22_mask.gif
images/23_training.tif,manual/23_manual1.gif,mask/23_mask.gif
images/24_training.tif,manual/24_manual1.gif,mask/24_mask.gif
images/25_training.tif,manual/25_manual1.gif,mask/25_mask.gif
images/26_training.tif,manual/26_manual1.gif,mask/26_mask.gif
images/27_training.tif,manual/27_manual1.gif,mask/27_mask.gif
images/28_training.tif,manual/28_manual1.gif,mask/28_mask.gif
images/29_training.tif,manual/29_manual1.gif,mask/29_mask.gif
images/30_training.tif,manual/30_manual1.gif,mask/30_mask.gif
images/31_training.tif,manual/31_manual1.gif,mask/31_mask.gif
images/32_training.tif,manual/32_manual1.gif,mask/32_mask.gif
images/33_training.tif,manual/33_manual1.gif,mask/33_mask.gif
images/34_training.tif,manual/34_manual1.gif,mask/34_mask.gif
images/35_training.tif,manual/35_manual1.gif,mask/35_mask.gif
images/36_training.tif,manual/36_manual1.gif,mask/36_mask.gif
